ID_Number,Birth_Location_X,Birth_Location_Y,Birth_Location_Z,Current_Location_X,Current_Location_Y,Current_Location_Z,Current_Vector_X,Current_Vector_Y,Current_Vector_Z,Target,Sky Exposure
127,-0.25,4.962498,22.9,-0.25,4.962498,22.9,0,0,0,No Target Assigned,0
128,-2.02,4.962498,22.9,-2.02,4.962498,22.9,0,0,0,No Target Assigned,0
129,-5.610001,4.962498,22.9,-5.610001,4.962498,22.9,0,0,0,No Target Assigned,0
130,-7.380001,4.962498,22.9,-7.380001,4.962498,22.9,0,0,0,No Target Assigned,0
131,-3.82,4.962498,22.9,-3.82,4.962498,22.9,0,0,0,No Target Assigned,0
132,-9.080002,4.962498,22.9,-9.080002,4.962498,22.9,0,0,0,No Target Assigned,0
133,-10.85,4.962498,22.9,-10.85,4.962498,22.9,0,0,0,No Target Assigned,0
134,3.22,4.962498,17.43,3.22,4.962498,17.43,0,0,0,No Target Assigned,0
135,1.45,4.962498,17.43,1.45,4.962498,17.43,0,0,0,No Target Assigned,0
136,5.01,4.962498,17.43,5.01,4.962498,17.43,0,0,0,No Target Assigned,0
137,-17.58,0.2124975,-1.11,-17.58,0.2124975,-1.11,0,0,0,No Target Assigned,0
138,-17.58,0.2124975,-1.11,-17.58,0.2124975,-1.11,0,0,0,No Target Assigned,0

